"","X..name","planet_status","orbital_period","orbital_period_error_min","orbital_period_error_max","discovered","updated","publication_status","detection_type","mass_detection_type","radius_detection_type","alternate_names","molecules","star_name","ra","dec","star_sp_type","star_teff","star_detected_disc","star_magnetic_field","star_alternate_names"
"882","HD 95127 b","Confirmed",482,5,5,2015,"2016-01-10","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","HD 95127",164.895833345,43.814444472,"K0",4218,"","",""
"884","HD 95872 b","Confirmed",4375,169,169,2015,"2015-12-10","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","HD 95872",165.866666676,-22.093888899,"K0V",5312,"","",""
"885","HD 96063 b","Confirmed",361.1,9.9,9.9,2011,"2011-09-02","Published in a refereed paper","Radial Velocity","","","","","HD 96063",166.1833333,-2.5133333,"K0",5148,"","",""
"886","HD 96127 b","Confirmed",647.3,16.8,16.8,2011,"2011-10-11","Submitted to a professional journal","Radial Velocity","","","","","HD 96127",166.4416667,44.3016667,"K2III",4152,"","",""
"887","HD 96167 b","Confirmed",498.9,1,1,2009,"2009-04-21","Published in a refereed paper","Radial Velocity","","","","","HD 96167",166.3125,-10.2913889,"G5D",5770,"","",""
"890","HD 97658 b","Confirmed",9.4903,0.0015,0.0016,2010,"2014-08-22","Submitted to a professional journal","Primary Transit","","","","","HD 97658",168.6375,25.7102778,"K1V",5170,"","",""
"891","HD 98219 b","Confirmed",436.9,4.5,4.5,2011,"2011-09-02","Published in a refereed paper","Radial Velocity","","","","","HD 98219",169.45,-23.9752778,"K0III/IV",4992,"","",""
"894","HD 99109 b","Confirmed",439.3,5.6,5.6,2006,"2006-07-15","Published in a refereed paper","Radial Velocity","","","","","HD 99109",171.0708333,-1.5288889,"K0",5272,"","",""
"895","HD 99492 b","Confirmed",17.054,0.003,0.003,2004,"2016-03-03","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","HD 99492",171.6916667,3.0061111,"K2V",4740,"","",""
"896","HD 99706 b","Confirmed",868,31,31,2011,"2011-09-02","Published in a refereed paper","Radial Velocity","","","","","HD 99706",172.125,43.9666667,"K0",4932,"","",""
"899","HIP 105854 b","Confirmed",184.2,0.5,0.5,2014,"2014-06-06","Published in a refereed paper","Radial Velocity","","","","","HIP 105854",321.595833341,-37.829444471,"K2III",4780,"","",""
"900","HIP 107773 b","Confirmed",144.3,0.5,0.5,2015,"2015-05-29","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","HIP 107773",327.5,-64.712500024,"",4945,"","",""
"901","HIP 109384 b","Confirmed",499.48,0.32,0.32,2016,"2016-02-17","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","HIP 109384",332.1333,71.3144,"G5",5180,"","",""
"902","HIP 109600 b","Confirmed",232.08,0.15,0.15,2016,"2016-02-17","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","HIP 109600",333.025000002,29.065833347,"G5",5530,"","",""
"903","HIP 116454 b","Confirmed",9.1265,5e-04,5e-04,2014,"2015-06-14","Published in a refereed paper","Primary Transit","Radial Velocity","Primary Transit","","","HIP 116454",353.954166683,0.445555574,"K2",5089,"","",""
"904","HIP 11915","Confirmed",3830,150,150,2015,"2015-07-17","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","HIP 11915",38.454166683,-19.611944466,"G5V",5760,"","",""
"906","HIP 14810 b","Confirmed",6.673855,1.9e-05,1.9e-05,2006,"2013-05-20","Published in a refereed paper","Radial Velocity","","","","","HIP 14810",47.8083333,21.0972222,"G5",5485,"","",""
"907","HIP 14810 c","Confirmed",147.73,0.065,0.065,2006,"2013-05-20","Submitted to a professional journal","Radial Velocity","","","","","HIP 14810",47.8083333,21.0972222,"G5",5485,"","",""
"908","HIP 14810 d","Confirmed",962,15,15,2009,"2013-05-20","Published in a refereed paper","Radial Velocity","","","","","HIP 14810",47.8083333,21.0972222,"G5",5485,"","",""
"909","HIP 41378 b","Confirmed",15.5712,0.0012,0.0012,2016,"2016-06-29","Published in a refereed paper","Primary Transit","","Primary Transit","","","HIP 41378",126.616666676,10.08027779,"",6199,"","",""
"910","HIP 41378 c","Confirmed",31.6978,0.004,0.004,2016,"2016-06-29","Published in a refereed paper","Primary Transit","","Primary Transit","","","HIP 41378",126.616666676,10.08027779,"",6199,"","",""
"911","HIP 41378 d","Confirmed",157,78,163,2016,"2016-06-29","Published in a refereed paper","Primary Transit","","Primary Transit","","","HIP 41378",126.616666676,10.08027779,"",6199,"","",""
"912","HIP 41378 e","Confirmed",131,36,61,2016,"2016-06-29","Published in a refereed paper","Primary Transit","","Primary Transit","","","HIP 41378",126.616666676,10.08027779,"",6199,"","",""
"913","HIP 41378 f","Confirmed",324,126,121,2016,"2016-06-29","Published in a refereed paper","Primary Transit","","Primary Transit","","","HIP 41378",126.616666676,10.08027779,"",6199,"","",""
"914","HIP 5158 b","Confirmed",345.63,1.99,1.99,2009,"2011-05-06","Submitted to a professional journal","Radial Velocity","","","","","HIP 5158",16.5083333,-22.4530556,"K5V",4962,"","",""
"915","HIP 5158 c","Confirmed",9018,3181,3181,2010,"2011-05-06","Published in a refereed paper","Radial Velocity","","","","","HIP 5158",16.5083333,-22.4530556,"K5V",4962,"","",""
